Designator,Mid X,Mid Y,Rotation,Layer
D1,27.915684272238416,-84.54495712981027,335.0,top
D10,79.4200412895714,-105.10213718176028,324.0,top
D11,89.4123902895714,-91.34884818176027,324.0,top
D12,99.40473928957141,-77.59555918176028,324.0,top
D13,91.7127572895714,-120.33726518176029,324.0,top
D14,106.2750632895714,-130.91740018176029,324.0,top
D15,219.0778262722384,-84.51812087018973,25.0,top
D16,211.8933152722384,-69.11088887018973,25.0,top
D17,204.7088052722384,-53.703655870189735,25.0,top
D18,197.17561952705296,-83.43144106336061,32.0,top
D19,188.16699152705297,-69.0146240633606,32.0,top
D2,35.10019427223841,-69.13772512981028,335.0,top
D20,179.15836452705298,-54.59780606336059,32.0,top
D21,178.23562294292861,-88.6463756253148,34.0,top
D22,168.7293429429286,-74.55273662531481,34.0,top
D23,159.2230639429286,-60.459097625314804,34.0,top
D24,167.56729128957141,-105.06481281823972,36.0,top
D25,157.5749412895714,-91.31152381823972,36.0,top
D26,147.5825922895714,-77.55823481823973,36.0,top
D27,155.2745742895714,-120.29994081823972,36.0,top
D28,140.7122682895714,-130.88007581823973,36.0,top
D3,42.28470527223841,-53.730492129810266,335.0,top
D4,49.81419152705297,-83.4650909366394,328.0,top
D5,58.822818527052966,-69.0482739366394,328.0,top
D6,67.83144652705298,-54.631455936639405,328.0,top
D7,68.75297994292863,-88.6818843746852,326.0,top
D8,78.25925994292862,-74.5882453746852,326.0,top
D9,87.76553894292863,-60.4946063746852,326.0,top
POINTING1,123.48098,-106.537812,0.0,top
RP2040ZERO1,123.49798,-90.186762,0.0,top
S1,32.67297698819932,-78.08221761256475,335.0,top
S10,85.32307800304388,-99.66587073033932,324.0,top
S11,95.31542700304388,-85.91258173033931,324.0,top
S12,105.30777700304388,-72.15929273033932,324.0,top
S13,97.61579400304387,-114.90099873033932,324.0,top
S14,112.17810000304388,-125.48113373033932,324.0,top
S15,217.18500804167775,-76.71965449750482,25.0,top
S16,210.00049804167773,-61.31242249750481,25.0,top
S17,202.81598704167774,-45.905189497504814,25.0,top
S18,194.34651696340418,-75.92177972234028,32.0,top
S19,185.33788996340417,-61.50496172234027,32.0,top
S2,39.85748698819933,-62.67498561256474,335.0,top
S20,176.32926196340418,-47.08814472234027,32.0,top
S21,175.1461605699091,-81.24002258126525,34.0,top
S22,165.63988156990914,-67.14638358126525,34.0,top
S23,156.13360256990913,-53.05274558126526,34.0,top
S24,164.2212326885204,-97.77079229842316,36.0,top
S25,154.2288836885204,-84.01750329842315,36.0,top
S26,144.2365346885204,-70.26421429842316,36.0,top
S27,151.9285166885204,-113.00592029842316,36.0,top
S28,137.3662106885204,-123.58605529842316,36.0,top
S3,47.04199798819932,-47.26775261256474,335.0,top
S4,55.32363390341374,-77.63029242215454,328.0,top
S5,64.33226190341374,-63.21347442215455,328.0,top
S6,73.34088890341374,-48.796657422154546,328.0,top
S7,74.46269846776559,-83.0429164213453,326.0,top
S8,83.96897746776558,-68.9492774213453,326.0,top
S9,93.47525746776559,-54.855639421345295,326.0,top
_1,52.576363,-40.10316,335.0,top
_10,109.96798,-92.081812,0.0,top
_11,136.96798,-92.081812,0.0,top
_2,194.359597,-40.10316,25.0,top
_3,82.569348,-44.572944,328.0,top
_4,164.366612,-44.572944,32.0,top
_5,38.848775,-90.763279,328.0,top
_6,208.087184,-90.763279,32.0,top
_7,79.17906,-113.03566,324.0,top
_8,167.756899,-113.03566,36.0,top
_9,123.46798,-114.062812,0.0,top
